237	59363.945 us
238	57950.15 us
239	58011.626 us
240	57920.185 us
241	58245.68 us
242	57870.904 us
243	58210.995 us
244	57939.740 us
245	57998.835 us
246	58053.259 us
247	57823.350 us
248	57802.742 us
249	57904.595 us
250	58234.462 us
251	58082.412 us
252	58012.560 us
253	58107.863 us
254	58046.346 us
255	57851.446 us
256	57881.745 us
257	57934.129 us
258	57871.483 us
259	57959.781 us
260	58113.538 us
261	58034.59 us
262	57872.178 us
263	58049.472 us
264	57920.89 us
265	57980.901 us
266	58022.88 us
267	58023.887 us
268	58077.342 us
269	57723.473 us
270	57831.152 us
271	57947.294 us
272	57817.640 us
273	58181.840 us
274	58099.373 us
275	58007.440 us
276	57849.902 us
277	57912.155 us
278	57931.106 us
279	57864.931 us
280	57904.688 us
281	58011.681 us
282	58012.189 us
283	57873.208 us
284	57869.764 us
285	57869.144 us
286	58033.273 us
287	57925.548 us
288	58102.757 us
289	58035.974 us
290	58106.56 us
291	57974.459 us
292	57750.33 us
293	58243.148 us
294	58016.711 us
295	58038.538 us
296	57958.919 us
297	57972.359 us
298	57850.769 us
299	58013.557 us
300	58149.247 us
301	57870.100 us
302	58058.931 us
303	58153.965 us
304	58120.12 us
305	57825.479 us
306	58059.289 us
307	57910.552 us
308	57903.397 us
309	57974.545 us
310	58036.582 us
311	57934.615 us
312	57830.970 us
313	57902.391 us
314	57850.72 us
315	57975.874 us
316	57689.819 us
317	58003.497 us
318	58097.783 us
319	57828.193 us
320	57988.756 us
321	57961.353 us
322	57787.469 us
323	58004.292 us
324	57953.439 us
325	57990.891 us
326	57938.833 us
327	57878.346 us
328	58054.948 us
329	57905.688 us
330	57928.977 us
331	58031.350 us
332	58072.581 us
333	57964.305 us
334	57742.171 us
335	57766.238 us
336	58066.175 us
337	57731.608 us
338	57832.840 us
339	58096.646 us
340	58027.407 us
341	57744.173 us
342	57825.996 us
343	58035.12 us
344	57815.804 us
345	57829.78 us
346	57945.986 us
347	57950.530 us
348	57804.425 us
349	57917.131 us
350	57989.479 us
351	57844.417 us
352	57878.279 us
353	60393.87 us
354	58272.381 us
355	57860.955 us
356	57875.656 us
357	57759.153 us
358	57814.589 us
359	57827.180 us
360	58150.191 us
361	58011.985 us
362	57854.117 us
363	57808.811 us
364	57978.260 us
365	57887.683 us
366	57778.112 us
367	58050.259 us
368	58166.47 us
369	58094.620 us
370	57774.111 us
371	57786.115 us
372	57940.128 us
373	57716.406 us
374	57923.49 us
375	58079.451 us
376	57998.103 us
377	57751.389 us
378	57897.683 us
379	57934.334 us
380	57923.669 us
381	57765.934 us
382	58034.639 us
383	58242.228 us
384	57852.695 us
385	57869.534 us
386	57890.187 us
387	57880.720 us
388	57862.405 us
389	57760.122 us
390	58070.377 us
391	57765.38 us
392	57839.155 us
393	58082.516 us
394	57901.616 us
395	57775.849 us
396	57944.756 us
397	58147.980 us
398	57891.939 us
399	57852.842 us
400	58075.447 us
401	57725.492 us
402	57735.204 us
403	57869.633 us
404	57955.362 us
405	57916.749 us
406	57802.753 us
407	57733.301 us
408	57845.212 us
409	57974.422 us
410	57793.35 us
411	58056.600 us
412	57795.997 us
413	57843.241 us
414	57953.113 us
415	57876.448 us
416	57593.897 us
417	57827.523 us
418	58001.506 us
419	58110.193 us
420	57900.781 us
421	57977.181 us
422	57795.52 us
423	58008.140 us
424	57910.115 us
425	57854.263 us
426	58111.558 us
427	58007.3 us
428	57957.294 us
429	57807.393 us
430	58107.621 us
431	58121.901 us
432	57913.187 us
433	58070.859 us
434	58204.749 us
435	57720.745 us
436	58037.252 us
437	57790.820 us
438	57859.734 us
439	57948.336 us
440	58239.150 us
441	57934.949 us
442	57735.95 us
443	58096.822 us
444	58019.965 us
445	57672.569 us
446	57836.718 us
447	57859.90 us
448	57976.394 us
449	57852.385 us
450	58052.591 us
451	57846.308 us
452	57945.933 us
453	57964.791 us
454	57894.920 us
455	58048.552 us
456	57611.152 us
